module,type,name,res_id,src,value
auth_crypt,model,"ir.model.fields,field_description",auth_crypt.field_res_users_password_crypt,Encrypted Password,Contraseña encriptada
auth_crypt,model,"ir.model,name",auth_crypt.model_res_users,Users,Usuarios
base,model,"ir.module.module,description",base.module_pos_reprint,"

=======================

Allow cashier to reprint receipts

","

========================

Permitir al vendedor reimprimir recibos



"
base,model,"ir.module.module,description",base.module_pos_restaurant,"

=======================

This module adds several restaurant features to the Point of Sale:
- Bill Printing: Allows you to print a receipt before the order is paid
- Bill Splitting: Allows you to split an order into different orders
- Kitchen Order Printing: allows you to print orders updates to kitchen or bar printers

","

=======================

Este módulo añade varias características para restaurantes al terminal punto de venta:
- Impresión de la cuenta: Permite imprimir un recibo antes de que se pague el pedido
- División de la cuenta: Permite dividir un pedido en varias partes
- Impresión del pedido de cocina: Permite imprimir los pedidos de cocina actualizados

"
base,model,"ir.module.module,description",base.module_pos_discount,"

=======================

This module allows the cashier to quickly give a percentage
sale discount to a customer.

","

=======================

Este módulo permite al cajero dar rápidamente un descuento
de venta al cliente.

"
base,model,"ir.module.module,description",base.module_l10n_hu,"

Base module for Hungarian localization
==========================================

This module consists :

 - Generic Hungarian chart of accounts
 - Hungarian taxes
 - Hungarian Bank information
 
 ","

Modulo base para la localización Húngara
========================================

Este módulo consiste en:

 - Plan de cuentas genérico de Hungría
 - Impuestos húngaros
 - Información bancaria húngara
 
 "
base,model,"ir.module.module,description",base.module_crm_claim,"

Manage Customer Claims.
=======================
This application allows you to track your customers/vendors claims and grievances.

It is fully integrated with the email gateway so that you can create
automatically new claims based on incoming emails.
    ","

Gestionar reclamaciones de clientes.
==============================
Esta aplicación permite seguir las reclamaciones y quejas de sus clientes/proveedores.

Está totalmente integrada con la pasarela de correo electrónico para que se puedan crear automáticamente nuevas reclamaciones basadas en correos entrantes.
    "
base,model,"ir.module.module,description",base.module_l10n_jp,"

Overview:
---------

* Chart of Accounts and Taxes template for companies in Japan.
* This probably does not cover all the necessary accounts for a company. You are expected to add/delete/modify accounts based on this template.

Note:
-----

* Fiscal positions '内税' and '外税' have been added to handle special requirements which might arise from POS implementation. [1]  You may not need to use these at all under normal circumstances.

[1] See https://github.com/odoo/odoo/pull/6470 for detail.

    ","

Información general:
---------

* Plan General de Contabilidad y plantilla de Impuestos  para empresas en Japón.
* Esto probablemente no cubra todas las cuentas necesarias para una empresa. Se espera que añada, elimine y modifique las cuentas sobre la base de esta plantilla.

Nota:
-----

* Posiciones fiscales '内税' y '外税' se han añadido para manejar los requerimientos especiales que puedan surgir de la aplicación TPV. [1]  Puede que no sea necesario usar esto en su totalidad bajo circunstancias normales.

[1] Ver https://github.com/odoo/odoo/pull/6470 para más detalles.

    "
base,code,addons/base/res/res_config.py,361,"

This addon is already installed on your system","

Este módulo ya está instalado en su sistema."
base,code,addons/model.py,157,"

[object with reference: %s - %s]","

[objeto con referencia: %s - %s]"
base,model,"ir.module.module,description",base.module_l10n_be_invoice_bba,"
    
Belgian localization for in- and outgoing invoices (prereq to account_coda):
============================================================================
    - Rename 'reference' field labels to 'Communication'
    - Add support for Belgian Structured Communication

A Structured Communication can be generated automatically on outgoing invoices according to the following algorithms:
---------------------------------------------------------------------------------------------------------------------
    1) Random : +++RRR/RRRR/RRRDD+++
        **R..R =** Random Digits, **DD =** Check Digits
    2) Date : +++DOY/YEAR/SSSDD+++
        **DOY =** Day of the Year, **SSS =** Sequence Number, **DD =** Check Digits
    3) Customer Reference +++RRR/RRRR/SSSDDD+++
        **R..R =** Customer Reference without non-numeric characters, **SSS =** Sequence Number, **DD =** Check Digits  
        
The preferred type of Structured Communication and associated Algorithm can be
specified on the Partner records. A 'random' Structured Communication will
generated if no algorithm is specified on the Partner record. 

    ","
    
Localización belga para factura entrantes y salientes (prerrequisito para 'account_coda'):
============================================================================
    - Renombra la etiqueta del campo 'reference' a 'Comunicación'
    - Añade soporte para la comunicación estructurada belga

Se puede generar automáticamente una comunicación estructurada de las facturas salientes de acuerdo a los siguientes algoritmos:
---------------------------------------------------------------------------------------------------------------------
    1) Aleatorio : +++RRR/RRRR/RRRDD+++
        **R..R =** Dígitos aleatorios, **DD =** Dígitos de control
    2) Fecha : +++DOY/YEAR/SSSDD+++
        **DOY =** Día del año, **SSS =** Nº de secuencia, **DD =** Dígitos de control
    3) Referencia del cliente +++RRR/RRRR/SSSDDD+++
        **R..R =** Referencia del cliente sin caracteres no-numéricos, **SSS =** Nº de secuencia, **DD =** Dígitos de control
        
El tipo de comunicación estructurada preferida y el algoritmo asociado se puede especificar en el registro de cada empresa. Se generará por defecto una comunicación estructura 'aleatoria' si no se especifica ningún algoritmo en el registro de la empresa. 

    "
base,model,"ir.module.module,description",base.module_account_tax_python,"
        A tax defined as python code consists in two snippets of python code which are executed in a local environment containing data such as the unit price, product or partner.

        ""Applicable Code"" defines if the tax is to be applied.

        ""Python Code"" defines the amount of the tax.
        ","
        Un impuesto definido como código python consiste en dos fragmentos de código los cuales son ejecutados en un entorno local conteniendo datos como el precio unitario, producto o cliente asociado.

        ""Código Aplicable"" define si el impuesto es aplicable.

        ""Código en Python"" define el monto del impuesto.
        "
base,model,"ir.module.module,summary",base.module_account_tax_python,"
        Allows to use python code to define taxes","
Permite utilizar código python para definir impuestos"
base,model,"ir.module.module,summary",base.module_pos_cache,"
        Enable a cache on products for a lower POS loading time.","
        Habilita un cache en productos para un menor tiempo de carga en POS."
base,model,"ir.module.module,description",base.module_openacademy,"
        Open Academy module for managing trainings:
            - training courses
            - training sessions
            - attendees registration
    ","
        Open Academy module for managing trainings:
            - training courses
            - training sessions
            - attendees registration
    "
